name,core_count,core_clock,boost_clock,tdp,graphics,smt
AMD Phenom II X3 720 Black,3,2.8,,95,,False
AMD Phenom II X3 740 Black,3,3.0,,95,,False
Intel Celeron E1500,2,2.2,,65,,False
Intel Pentium E5500,2,2.8,,65,,False
Intel Pentium E6300,2,2.8,,65,,False
Intel Core 2 Quad Q8400S,4,2.66,,65,,False
Intel Core 2 Quad Q9450,4,2.66,,95,,False
Intel Core 2 Extreme QX6800,4,2.93,,100,,False
AMD Athlon II X2 265,2,3.2,,65,,False
AMD Phenom II X3 715 Black,3,2.8,,95,,False
AMD Phenom II X4 970 Black,4,3.5,,125,,False
AMD Phenom II X2 560 Black,2,3.3,,80,,False
Intel Pentium G860,2,3.0,,65,Intel HD Graphics,False
Intel Celeron G555,2,2.7,,65,Intel HD Graphics,False
Intel Pentium G3430,2,3.3,,54,Intel HD Graphics,False
Intel Celeron G1850,2,2.9,,53,Intel HD Graphics,False
AMD Sempron X2 198,2,2.5,,65,,False
AMD Sempron X2 190,2,2.5,,45,,False
AMD FX-4200,4,3.3,,125,,False
AMD Athlon II X4 638,4,2.7,,65,,False
AMD Athlon X2 450,2,3.5,3.9,65,,False
Intel Pentium G3250T,2,2.8,,35,Intel HD Graphics,False
Intel Xeon E5-2622 V3,8,2.4,,85,,True
Intel Xeon E5-2658 V3,12,2.2,2.9,105,,True
Intel Xeon E5-2440V2,8,1.9,2.4,95,,True
AMD Athlon II X2 245,2,2.9,,65,,False
Intel Celeron 450,1,2.2,,35,,False
AMD Phenom II X3 710,3,2.6,,95,,False
AMD Phenom II X4 805,4,2.5,,95,,False
AMD Phenom II X4 910,4,2.6,,95,,False
AMD Athlon II X2 260u,2,1.8,,25,,False
AMD Athlon II X4 600e,4,2.2,,45,,False
AMD Athlon II X4 605e,4,2.3,,45,,False
Intel Core 2 Duo E6540,2,2.33,,65,,False
Intel Core 2 Duo E8190,2,2.66,,65,,False
Intel Core 2 Quad Q9400S,4,2.66,,65,,False
Intel Core 2 Quad Q9505S,4,2.83,,65,,False
Intel Pentium E6700,2,3.2,,65,,False
AMD Athlon II X3 460,3,3.4,,95,,False
Intel Pentium G620T,2,2.2,,35,Intel HD Graphics,False
AMD Phenom II X4 970,4,3.5,,125,,False
AMD A10-6790B,4,4.0,,100,Radeon HD 8670D,False
AMD FX-6130,6,3.6,3.9,125,,False
AMD FX-8140,8,3.2,4.1,95,,False
AMD Athlon X4 530,4,2.0,,25,,False
AMD Pro A6-7400B,2,3.5,3.9,65,Radeon R5 (on die),False
Intel Xeon E5-2450V2,8,2.5,3.3,95,,True
