name,core_count,core_clock,boost_clock,tdp,graphics,smt
AMD Ryzen 7 1800X,8,3.6,4.0,95,,True
AMD Ryzen 5 1500X,4,3.5,3.7,65,,True
Intel Core i5-2400,4,3.1,,95,Intel HD Graphics 2000,False
AMD Threadripper 2990WX,32,3.0,4.2,250,,True
Intel Core i7-2600,4,3.4,,95,Intel HD Graphics 2000,True
Intel Core i5-4670K,4,3.4,,84,Intel HD Graphics 4600,False
Intel Core i3-7100,2,3.9,,51,Intel HD Graphics 630,True
Intel 300,2,3.9,,46,Intel UHD Graphics 710,True
Intel Xeon E5-2630,6,2.3,,95,,True
Intel Core i9-11900F,8,2.5,5.2,65,,True
Intel Core i7-2600K,4,3.4,,95,Intel HD Graphics 3000,True
Intel Core i5-3570K,4,3.4,,77,Intel HD Graphics 4000,False
Intel Xeon E5-2683 V4,16,2.1,3.0,120,,True
Intel Core i5-7600,4,3.5,4.1,65,Intel HD Graphics 630,False
Intel Core i3-6100,2,3.7,,51,Intel HD Graphics 530,True
Intel Core i5-10500,6,3.1,4.5,65,Intel UHD Graphics 630,True
AMD Ryzen 9 PRO 7945,12,3.7,5.4,65,Radeon,True
AMD Threadripper 1920X,12,3.5,4.0,180,,True
AMD Athlon II X2 240,2,2.8,,65,,False
Intel Core i5-3570,4,3.4,,77,Intel HD Graphics 2500,False
Intel Core i5-6600,4,3.3,3.9,65,Intel HD Graphics 530,False
Intel Core i7-6800K,6,3.4,3.6,140,,True
Intel Celeron G4900,2,3.1,,65,Intel UHD Graphics 610,False
Intel Core i7-6900K,8,3.2,3.7,140,,True
Intel Core i5-12600,6,3.3,4.8,65,Intel UHD Graphics 770,True
Intel Pentium Gold G7400,2,3.7,,46,Intel UHD Graphics 710,True
Intel Core i7-5820K,6,3.3,3.6,140,,True
Intel Core i5-2500K,4,3.3,,95,Intel HD Graphics 3000,False
Intel Pentium G640,2,2.8,,65,Intel HD Graphics,False
Intel Core i5-11600,6,2.8,4.8,65,Intel UHD Graphics 750,True
AMD Athlon X4 845,4,3.5,3.8,65,,False
Intel Core 2 Duo E8400,2,3.0,,65,,False
Intel Core i7-4930K,6,3.4,3.9,130,,True
AMD Threadripper 1950X,16,3.4,4.0,180,,True
Intel Xeon E5-2650 V4,12,2.2,2.9,105,,True
Intel Core i9-12900F,16,2.4,5.1,65,,True
Intel Core i5-9500,6,3.0,4.4,65,Intel UHD Graphics 630,False
Intel Xeon E5-2640 V3,8,2.6,3.4,90,,True
Intel Celeron G4930,2,3.2,,54,Intel UHD Graphics 610,False
Intel Core i9-10900X,10,3.7,4.7,165,,True
Intel Core i3-9100,4,3.6,4.2,65,Intel UHD Graphics 630,False
AMD 2650,2,1.45,,25,Radeon HD 8240,False
Intel Core i3-4150,2,3.5,,54,Intel HD Graphics 4400,True
Intel Core i9-10900,10,2.8,5.2,65,Intel UHD Graphics 630,True
Intel Core i9-12900,16,2.4,5.1,65,Intel UHD Graphics 770,True
Intel Core i9-7960X,16,2.8,4.4,165,,True
Intel Celeron 420,1,1.6,,35,,False
AMD Threadripper 2950X,16,3.5,4.4,180,,True
Intel Core i5-11500,6,2.7,4.6,65,Intel UHD Graphics 750,True
Intel Core i9-9900,8,3.1,5.0,65,Intel UHD Graphics 630,True
Intel Core i9-13900T,24,1.1,5.3,35,Intel UHD Graphics 770,True
Intel Core i5-7500T,4,2.7,3.3,35,Intel HD Graphics 630,False
Intel Core i7-8086K,6,4.0,5.0,95,Intel UHD Graphics 630,True
AMD FX-8320,8,3.5,,125,,False
Intel Core i3-12100T,4,2.2,4.1,35,Intel UHD Graphics 730,True
Intel Pentium E5700,2,3.0,,65,,False
Intel Core i9-7900X,10,3.3,4.5,140,,True
Intel Core i7-2700K,4,3.5,,95,Intel HD Graphics 3000,True
Intel Core i7-7740X,4,4.3,4.5,112,,True
Intel Xeon E5-1650 V4,6,3.6,4.0,140,,True
Intel Core i7-7800X,6,3.5,4.0,140,,True
Intel Pentium Gold G6400,2,4.0,,58,Intel UHD Graphics 610,True
