name,capacity,rpm,cache,form_factor,interface
Seagate EXOS Enterprise,4000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,250.0,7200.0,16.0,3.5,SATA 6.0 Gb/s
Toshiba MG08,16000.0,7200.0,512.0,3.5,SATA 6.0 Gb/s
Western Digital Blue Mobile,500.0,5400.0,128.0,2.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,500.0,5400.0,8.0,2.5,SATA 6.0 Gb/s
Western Digital Gold,4000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,10000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar,2000.0,7200.0,,3.5,SATA 6.0 Gb/s
Western Digital Gold,12000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Seagate NAS HDD,2000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,8000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,1000.0,5400.0,16.0,2.5,SATA 6.0 Gb/s
Samsung Spinpoint F3,1000.0,7200.0,32.0,3.5,SATA 3.0 Gb/s
Seagate IronWolf,12000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Toshiba P300,500.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Seagate ST1000DX001,1000.0,,64.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Green,1000.0,5400.0,16.0,3.5,SATA 3.0 Gb/s
Western Digital WD_BLACK,500.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,2000.0,5400.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Green,2000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,16000.0,7200.0,256.0,3.5,SAS 12.0 Gb/s
Seagate SkyHawk Surveillance,2000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Pro,2000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,16000.0,7200.0,256.0,3.5,SATA 6.0 Gb/s
Western Digital WD Blue,6000.0,5400.0,256.0,3.5,SATA 3.0 Gb/s
Western Digital WDBSLA0020HNC-NRSN,2000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red,3000.0,5400.0,64.0,3.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,4000.0,7200.0,128.0,3.5,SAS 6.0 Gb/s
Seagate Barracuda Green,2000.0,5900.0,64.0,3.5,SATA 6.0 Gb/s
Toshiba HDD2K12,750.0,5400.0,8.0,2.5,SATA 3.0 Gb/s
Western Digital Caviar Black,1000.0,7200.0,64.0,3.5,SATA 6.0 Gb/s
Western Digital Blue Mobile,2000.0,5400.0,128.0,2.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,6000.0,5400.0,128.0,3.5,SATA 6.0 Gb/s
Seagate ST4000DX001,4000.0,,64.0,3.5,SATA 6.0 Gb/s
