name,socket,form_factor,max_memory,memory_slots
MSI PRO-H610M-E-DDR4,LGA1700,Micro ATX,64,2
Gigabyte H510M K V2,LGA1200,Micro ATX,64,2
Asus PRIME Z790-A WIFI,LGA1700,ATX,192,4
Asus PRIME A320M-K,AM4,Micro ATX,32,2
Asus ROG STRIX B450-F GAMING II,AM4,ATX,128,4
MSI MPG X670E CARBON WIFI,AM5,ATX,192,4
MSI B760M GAMING PLUS WIFI,LGA1700,Micro ATX,192,4
ASRock B650M PG Lightning Wifi,AM5,Micro ATX,192,4
Intel DQ45EK,LGA775,Mini ITX,4,2
Asus ROG MAXIMUS Z790 HERO,LGA1700,ATX,192,4
ASRock B450M Steel Legend,AM4,Micro ATX,64,4
Gigabyte Z790 AORUS ELITE X AX,LGA1700,ATX,192,4
MSI MPG B650 EDGE WIFI,AM5,ATX,192,4
Asus PRIME X670E-PRO WIFI,AM5,ATX,192,4
ASRock B650 LiveMixer,AM5,ATX,192,4
MSI PRO Z790-P WIFI DDR4,LGA1700,ATX,128,4
Asus PRIME B650M-A WIFI II,AM5,Micro ATX,192,4
Asus PRIME B550-PLUS AC-HES,AM4,ATX,128,4
MSI PRO Z790-A WIFI,LGA1700,ATX,192,4
Asus PRIME H510M-A WIFI,LGA1200,Micro ATX,64,2
ASRock B760M PG SONIC WiFi,LGA1700,Micro ATX,192,4
Asus TUF GAMING A620M-PLUS WIFI,AM5,Micro ATX,192,4
ASRock B650 PRO RS,AM5,ATX,192,4
Gigabyte H610M S2H V2 DDR4,LGA1700,Micro ATX,64,2
Gigabyte B650I AX,AM5,Mini ITX,96,2
Asus ROG STRIX Z790-I GAMING WIFI,LGA1700,Mini ITX,96,2
MSI MAG B760 TOMAHAWK WIFI DDR4,LGA1700,ATX,128,4
ASRock Fatal1ty B450 Gaming-ITX/ac,AM4,Mini ITX,64,2
Asus ROG STRIX Z790-F GAMING WIFI,LGA1700,ATX,192,4
ASRock Z790 Lightning WiFi,LGA1700,ATX,192,4
Gigabyte X670E AORUS XTREME (rev. 1.0),AM5,EATX,192,4
ASRock B550M Steel Legend,AM4,Micro ATX,128,4
Asus PRIME Z790-V WIFI,LGA1700,ATX,192,4
NZXT N7 B550,AM4,ATX,128,4
Asus ROG STRIX B450-F GAMING,AM4,ATX,128,4
Gigabyte Z790M AORUS ELITE AX ICE,LGA1700,Micro ATX,192,4
MSI B450M-A PRO MAX,AM4,Micro ATX,32,2
Gigabyte Z790 UD AC,LGA1700,ATX,192,4
Asus ROG MAXIMUS Z790 APEX ENCORE,LGA1700,ATX,96,2
ASRock B450M Pro4,AM4,Micro ATX,128,4
ASRock B650 PG LIGHTNING,AM5,ATX,192,4
ASRock X670E Taichi,AM5,EATX,192,4
Gigabyte B760 AORUS ELITE AX,LGA1700,ATX,192,4
Gigabyte B450M DS3H,AM4,Micro ATX,128,4
Gigabyte B550M AORUS ELITE,AM4,Micro ATX,128,4
Asus ROG STRIX TRX40-XE GAMING,sTRX4,ATX,256,8
Gigabyte X670E AORUS MASTER (rev. 1.0),AM5,EATX,192,4
ASRock B650E Taichi Lite,AM5,EATX,192,4
ASRock Z790 Riptide WiFi,LGA1700,ATX,192,4
Asus TUF GAMING B760-PLUS WIFI,LGA1700,ATX,192,4
Gigabyte Z790 GAMING X AX,LGA1700,ATX,192,4
Gigabyte B650M GAMING X AX,AM5,Micro ATX,192,4
ASRock B760M-HDV/M.2 D4,LGA1700,Micro ATX,64,2
MSI MAG Z690 TOMAHAWK WIFI DDR4,LGA1700,ATX,128,4
Asus PRIME Z390-P,LGA1151,ATX,128,4
MSI MPG Z790 CARBON WIFI II,LGA1700,ATX,192,4
Gigabyte A620M S2H,AM5,Micro ATX,96,2
ASRock B660M-HDV,LGA1700,Micro ATX,64,2
MSI MPG B760I EDGE WIFI,LGA1700,Mini ITX,96,2
MSI PRO B650M-B,AM5,Micro ATX,96,2
Asus ROG STRIX Z690-A GAMING WIFI D4,LGA1700,ATX,128,4
Asus PRIME B760M-A,LGA1700,Micro ATX,128,4
MSI MEG X670E ACE,AM5,EATX,192,4
ASRock X670E Taichi Carrara,AM5,EATX,192,4
MSI MEG Z790 ACE MAX,LGA1700,EATX,192,4
MSI PRO Z690-A WIFI DDR4,LGA1700,ATX,128,4
MSI Z390-A PRO,LGA1151,ATX,128,4
Gigabyte B650M DS3H,AM5,Micro ATX,192,4
Gigabyte B650M K,AM5,Micro ATX,192,4
ASRock H310CM-DVS,LGA1151,Micro ATX,32,2
Asus PRIME B450M-K II,AM4,Micro ATX,64,2
Asus TUF GAMING Z790-PLUS WIFI D4,LGA1700,ATX,128,4
Gigabyte B550 AORUS ELITE V2,AM4,ATX,128,4
Asus ROG Crosshair VIII Dark Hero,AM4,ATX,128,4
