name,socket,form_factor,max_memory,memory_slots
EVGA Z370 FTW,LGA1151,ATX,64,4
ASRock H110M-HDV R3.0,LGA1151,Micro ATX,32,2
Gigabyte B360N WIFI,LGA1151,Mini ITX,32,2
Asus TUF H310-Plus Gaming,LGA1151,ATX,32,2
MSI MEG X399 CREATION,sTR4,EATX,128,8
ASRock Z390 Taichi Ultimate,LGA1151,ATX,128,4
Asus ROG MAXIMUS XI EXTREME,LGA1151,EATX,128,4
Gigabyte Z490 VISION D,LGA1200,ATX,128,4
Asus ROG STRIX H470-I GAMING,LGA1200,Mini ITX,64,2
ASRock H470M-HDV,LGA1200,Micro ATX,64,2
ASRock B760M Pro-A D4,LGA1700,Micro ATX,128,4
Supermicro MBD-X11SAE-F-O,LGA1151,ATX,64,4
Supermicro A1SRI-2758F-O,Integrated Atom C2358,Mini ITX,64,4
Biostar B550GTQ,AM4,Micro ATX,128,4
Gigabyte Z590 AORUS TACHYON,LGA1200,EATX,64,2
Gigabyte GA-MA785GM-US2H,AM3/AM2+/AM2,Micro ATX,16,4
Intel DH67CL,LGA1155,ATX,32,4
ASRock G41M-S3,LGA775,Micro ATX,8,2
Gigabyte GA-Z68X-UD3H-B3,LGA1155,ATX,32,4
ASRock 970 Extreme4,AM3+,ATX,32,4
MSI Z77A-G45,LGA1155,ATX,32,4
Asus P8B75-V,LGA1155,ATX,32,4
ASRock B75 Pro3-M,LGA1155,Micro ATX,32,4
ASRock Z77 Extreme3,LGA1155,ATX,32,4
Asus H87M-Plus/CSM,LGA1150,Micro ATX,32,4
Asus GRYPHON Z87,LGA1150,Micro ATX,32,4
MSI Z87-G43,LGA1150,ATX,32,4
Intel DH87MC,LGA1150,ATX,32,4
MSI CSM-B75MA-P45,LGA1155,Micro ATX,32,4
Gigabyte GA-B85M-DS3H,LGA1150,Micro ATX,32,4
Asus SABERTOOTH Z97 MARK 1,LGA1150,ATX,32,4
MSI Z97-GD65 Gaming,LGA1150,ATX,32,4
ASRock H97 Anniversary,LGA1150,ATX,32,4
Asus X99-E WS,LGA2011-3,SSI CEB,128,8
ASRock FM2A68M-HD+,FM2+,Micro ATX,32,2
MSI A88XI AC V2,FM2+,Mini ITX,16,2
Gigabyte GA-X99-SLI,LGA2011-3,ATX,128,8
Gigabyte GA-Z170X-Gaming G1,LGA1151,EATX,64,4
MSI Z170A TOMAHAWK,LGA1151,ATX,64,4
Supermicro MBD-X11SSM-F,LGA1151,Micro ATX,64,4
Asus B150M-PLUS,LGA1151,Micro ATX,64,4
MSI Z170A MPOWER GAMING TITANIUM,LGA1151,ATX,64,4
Supermicro X10SDV-4C-TLN2F,Integrated Xeon D-1521,Mini ITX,64,4
MSI B250M PRO-VH,LGA1151,Micro ATX,32,2
Gigabyte GA-Z270X-Gaming 5,LGA1151,ATX,64,4
MSI B250I PRO,LGA1151,Mini ITX,32,2
Gigabyte GA-Z270X-DESIGNARE,LGA1151,ATX,64,4
ASRock X299 Taichi,LGA2066,ATX,128,8
Asus Prime H370-Plus,LGA1151,ATX,64,4
Biostar X470GTN,AM4,Mini ITX,32,2
ASRock X370M-HDV,AM4,Micro ATX,32,2
Asus ROG MAXIMUS XII APEX,LGA1200,ATX,64,2
MSI B560-A PRO,LGA1200,ATX,128,4
MSI PRO B650M-E,AM5,Micro ATX,96,2
MSI PRO Z690-P WIFI,LGA1700,ATX,192,4
Supermicro MBD-X11SSH-LN4F,LGA1151,Micro ATX,64,4
ASRock H470M Pro4,LGA1200,Micro ATX,128,4
Gigabyte B550M H,AM4,Micro ATX,64,2
ASRock Z490M Pro4,LGA1200,Micro ATX,128,4
Asus Pro WS C246-ACE,LGA1151,ATX,128,4
Asus P6X58D-E,LGA1366,ATX,24,6
Gigabyte GA-G41MT-D3,LGA775,Micro ATX,8,2
Asus Maximus IV Extreme-Z,LGA1155,EATX,32,4
ASRock Z68 Extreme3 Gen3,LGA1155,ATX,32,4
Intel DX79SI,LGA2011,ATX,64,8
Intel DH77EB,LGA1155,Micro ATX,32,4
MSI H61M-P31 (G3),LGA1155,Micro ATX,16,2
MSI Z77A-G41,LGA1155,ATX,32,4
MSI H87-G43,LGA1150,ATX,32,4
ASRock H81M,LGA1150,Micro ATX,16,2
ASRock H81M-DGS,LGA1150,Micro ATX,16,2
EVGA Classified,LGA1150,EATX,32,4
Gigabyte GA-Z170M-D3H,LGA1151,Micro ATX,64,4
Asus MAXIMUS VIII IMPACT,LGA1151,Mini ITX,32,2
Gigabyte GA-B150N Phoenix-WIFI,LGA1151,Mini ITX,32,2
Gigabyte GA-Z170-Gaming K3-EU,LGA1151,ATX,64,4
Gigabyte GA-X99-Phoenix SLI,LGA2011-3,ATX,128,8
Supermicro X9DRL-3F,2 x LGA2011,ATX,64,8
Biostar H110MH PRO D4,LGA1151,Micro ATX,32,2
MSI B350 KRAIT GAMING,AM4,ATX,64,4
MSI X299 SLI PLUS,LGA2066,ATX,128,8
MSI B360M PRO-VH,LGA1151,Micro ATX,32,2
Gigabyte H370 AORUS GAMING 3,LGA1151,ATX,64,4
MSI H310M GAMING ARCTIC,LGA1151,Micro ATX,32,2
Gigabyte GA-AX370M-Gaming 3,AM4,Micro ATX,64,4
Asus PRIME H310M-C/CSM,LGA1151,Micro ATX,32,2
Gigabyte X470 AORUS GAMING 7 WIFI-50,AM4,ATX,64,4
Asus ROG STRIX B365-G GAMING,LGA1151,Micro ATX,64,4
ASRock H570 Steel Legend,LGA1200,ATX,128,4
ASRock B660M PG Riptide,LGA1700,Micro ATX,128,4
MSI PRO H410M-B,LGA1200,Micro ATX,64,2
ASRock Z690-C/D5,LGA1700,ATX,192,4
Asus PRIME A620M-A,AM5,Micro ATX,192,4
Gigabyte B650E AORUS TACHYON,AM5,ATX,96,2
Gigabyte H410M S2 V2,LGA1200,Micro ATX,64,2
Biostar B760NH-E,LGA1700,Mini ITX,96,2
MSI Z270 XPOWER GAMING TITANIUM,LGA1151,ATX,64,4
ASRock X470 Master SLI,AM4,ATX,64,4
ASRock H570M Pro4,LGA1200,Micro ATX,128,4
ASRock Z590 Taichi,LGA1200,ATX,128,4
Asus M4A79XTD EVO,AM3,ATX,16,4
Intel DG41AN,LGA775,Mini ITX,4,2
MSI X58 Pro-E,LGA1366,ATX,24,6
MSI H55M-P33,LGA1156,Micro ATX,16,4
Gigabyte GA-G41MT-S2P,LGA775,Micro ATX,8,2
Asus F1A55-M LX PLUS,FM1,Micro ATX,32,2
ASRock B75M,LGA1155,Micro ATX,16,2
Asus F1A75-M PRO R2.0,FM1,Micro ATX,64,4
ASRock B85M-ITX,LGA1150,Mini ITX,16,2
Gigabyte GA-Q87M-D2H,LGA1150,Micro ATX,32,4
Asus Maximus VI Formula,LGA1150,ATX,32,4
Asus A88X-PRO,FM2+,ATX,64,4
ASRock X99 WS-E,LGA2011-3,EATX,128,8
ASRock EP2C612D16SM,2 x LGA2011-3 Narrow,SSI EEB,1024,16
ASRock Z97X Killer/3.1,LGA1150,ATX,32,4
Asus H110M-C D3,LGA1151,Micro ATX,32,2
ASRock EP2C612 WS,2 x LGA2011-3,SSI EEB,256,8
Gigabyte GA-X150M-PRO ECC,LGA1151,Micro ATX,64,4
MSI Z170A SLI,LGA1151,ATX,64,4
Gigabyte GA-B150-HD3P,LGA1151,ATX,64,4
MSI 970A GAMING PRO CARBON,AM3+/AM3,ATX,32,4
ASRock Fatal1ty Z270 Gaming-ITX/ac,LGA1151,Mini ITX,32,2
ASRock Z170 Pro4/D3,LGA1151,ATX,64,4
Asus MAXIMUS IX APEX,LGA1151,EATX,32,2
MSI Z270 GAMING PRO,LGA1151,ATX,64,4
ASRock X370 GAMING X,AM4,ATX,64,4
Asus ROG STRIX X299-XE GAMING,LGA2066,ATX,128,8
Gigabyte B360N AORUS GAMING WIFI,LGA1151,Mini ITX,32,2
MSI H310-A PRO,LGA1151,ATX,32,2
Asus Prime H370-A/CSM,LGA1151,ATX,64,4
Biostar H61MLV,LGA1155,Micro ATX,16,2
Gigabyte X299X AORUS MASTER,LGA2066,EATX,256,8
Gigabyte H470M DS3H,LGA1200,Micro ATX,128,4
MSI H410M PRO-VH,LGA1200,Micro ATX,64,2
Asus PRIME H570M-PLUS,LGA1200,Micro ATX,128,4
Gigabyte B660M D3H DDR4,LGA1700,Micro ATX,128,4
Gigabyte Z690 AORUS ELITE AX DDR4 V2,LGA1700,ATX,128,4
Asus PRIME H510M-E R2.0,LGA1200,Micro ATX,64,2
MSI PRO B760-VC,LGA1700,ATX,192,4
Gigabyte Z590M,LGA1200,Micro ATX,128,4
MSI MAG H670 TOMAHAWK WIFI DDR4,LGA1700,ATX,128,4
ASRock E3V5 WS,LGA1151,ATX,64,4
ASRock Z270 Killer SLI,LGA1151,ATX,64,4
Gigabyte GA-Z270N-Gaming 5,LGA1151,Mini ITX,32,2
Gigabyte Z390 AORUS XTREME,LGA1151,EATX,128,4
Supermicro X9SRH-7TF,LGA2011,ATX,64,8
Asus Pro B460M-C/CSM,LGA1200,Micro ATX,128,4
Asus M4A88TD-V EVO/USB3,AM3,ATX,16,4
Intel DG41WV,LGA775,Micro ATX,4,2
MSI X58M,LGA1366,Micro ATX,24,6
Asus M4A78LT-M,AM3,Micro ATX,16,4
Gigabyte GA-H67MA-USB3-B3,LGA1155,Micro ATX,32,4
Asus Rampage III Black Edition,LGA1366,EATX,48,6
Foxconn H61MXV,LGA1155,Micro ATX,8,2
ASRock Z77 Pro3,LGA1155,ATX,32,4
ASRock Z77 Pro4,LGA1155,ATX,32,4
MSI H61M-P20 (G3),LGA1155,Micro ATX,16,2
Intel DX79SR,LGA2011,ATX,64,8
Asus P9X79-E WS,LGA2011,SSI CEB,64,8
Asus Maximus VI Gene,LGA1150,Micro ATX,32,4
Gigabyte GA-Z87X-UD4H,LGA1150,ATX,32,4
ASRock Fatal1ty Z87 Killer,LGA1150,ATX,32,4
Biostar H61MGV Ver. 7.x,LGA1155,Micro ATX,16,2
MSI A88X-G45 GAMING,FM2+,ATX,64,4
Asus SABERTOOTH Z97 MARK2,LGA1150,ATX,32,4
MSI H97M-G43,LGA1150,Micro ATX,32,4
ASRock X99 Extreme3,LGA2011-3,ATX,64,4
Gigabyte GA-X99-UD3,LGA2011-3,ATX,32,4
MSI A68HM-E33,FM2+,Micro ATX,32,2
Asus M2N,AM2,ATX,8,4
Gigabyte G1.Sniper Z170,LGA1151,ATX,64,4
MSI B150M Pro-VD,LGA1151,Micro ATX,32,2
Supermicro X10SRM-F,LGA2011-3 Narrow,Micro ATX,512,4
Supermicro X10SDV-7TP4F,Integrated Xeon D-1537,Flex ATX,64,4
ASRock Fatal1ty Z170 Gaming K6,LGA1151,ATX,64,4
MSI X99A TOMAHAWK,LGA2011-3,ATX,128,8
Supermicro X10SLH-F,LGA1150,Micro ATX,32,4
ASRock Fatal1ty H270 Performance,LGA1151,ATX,64,4
Asus PRIME X370-A,AM4,ATX,64,4
MSI X370 GAMING M7 ACK,AM4,ATX,64,4
MSI H370 GAMING PRO CARBON,LGA1151,ATX,64,4
MSI H310M PRO-D,LGA1151,Micro ATX,32,2
EVGA X299 MICRO ATX 2,LGA2066,Micro ATX,64,4
Asus Prime H310M-C R2.0/CSM,LGA1151,Micro ATX,32,2
Asus Prime X299 Edition 30,LGA2066,ATX,256,8
Biostar H410MH,LGA1200,Micro ATX,64,2
Gigabyte H510M-S2H-V2-rev-13,LGA1200,Micro ATX,64,4
MSI PRO B760-P DDR4,LGA1700,ATX,128,4
Asus PRIME H610I-PLUS-CSM,LGA1700,Mini ITX,96,2
MSI PRO A620M-C EX,AM5,Micro ATX,96,2
Supermicro C9Z390-CG-IW,LGA1151,Mini ITX,64,2
MSI H170A PC Mate,LGA1151,ATX,64,4
EVGA Z490 DARK K|NGP|N,LGA1200,EATX,64,2
Biostar B760A-SILVER,LGA1700,ATX,192,4
Asus P7P55D-E,LGA1156,ATX,16,4
EVGA 132-BL-E758-A1,LGA1366,ATX,24,6
ASRock N68-S UCC,AM3/AM2+/AM2,Micro ATX,8,2
Asus Rampage III Formula,LGA1366,ATX,24,6
Gigabyte GA-P67A-D3-B3,LGA1155,ATX,32,4
Intel DQ67OWB3,LGA1155,Micro ATX,32,4
Asus Rampage IV Formula,LGA2011,ATX,32,4
Gigabyte GA-Z77M-D3H,LGA1155,Micro ATX,32,4
ASRock Z75 Pro3,LGA1155,ATX,32,4
ASRock 960GM/U3S3 FX,AM3+,Micro ATX,16,2
ASRock X79 Extreme11,LGA2011,EATX,64,8
ASRock B75M-DGS,LGA1155,Micro ATX,16,2
Gigabyte GA-Z77-HD3,LGA1155,ATX,32,4
ASRock Z87 Pro3,LGA1150,ATX,32,4
Biostar B75MU3B,LGA1155,Micro ATX,16,2
ASRock H81M-ITX,LGA1150,Mini ITX,16,2
Asus Q87T/CSM,LGA1150,Thin Mini ITX,16,2
MSI A88XM GAMING,FM2+,Micro ATX,32,4
ASRock H97 Pro4,LGA1150,ATX,32,4
MSI Z97-G43,LGA1150,ATX,32,4
Biostar A58ML,FM2+,Micro ATX,32,2
MSI 990FXA-GAMING,AM3+/AM3,ATX,32,4
Asus Z170-P D3,LGA1151,ATX,64,4
MSI Z170A XPOWER GAMING TITANIUM EDITION,LGA1151,ATX,64,4
ASRock Z170M-ITX/ac,LGA1151,Mini ITX,32,2
Gigabyte GA-H170-D3HP,LGA1151,ATX,64,4
Gigabyte GA-H110M-S2PV DDR3 (rev. 1.0),LGA1151,Micro ATX,32,2
Gigabyte GA-Q170M-MK,LGA1151,Micro ATX,64,4
MSI B150M Gaming Pro,LGA1151,Micro ATX,32,2
Asus X99-E-10G WS,LGA2011-3,SSI CEB,128,8
Gigabyte GA-Z270-HD3P,LGA1151,ATX,64,4
Gigabyte GA-Z270X-UD3,LGA1151,ATX,64,4
MSI H270I GAMING PRO AC,LGA1151,Mini ITX,32,2
Biostar TB350-BTC,AM4,ATX,32,2
Asus ROG MAXIMUS IX EXTREME,LGA1151,EATX,64,4
ASRock H370 Pro4,LGA1151,ATX,64,4
Gigabyte H310 D3,LGA1151,ATX,32,2
ASRock Z490 Phantom Gaming 4/ax,LGA1200,ATX,128,4
ASRock E3C246D4U2-2L2T,LGA1151,Micro ATX,128,4
MSI B560M PRO WIFI,LGA1200,Micro ATX,64,2
Gigabyte Z590M GAMING X,LGA1200,Micro ATX,128,4
Biostar H510MH/E 2.0,LGA1200,Micro ATX,64,2
Gigabyte Z690 UD AC,LGA1700,ATX,192,4
Biostar B550MXC PRO,AM4,Micro ATX,128,4
Gigabyte B760M E,LGA1700,Micro ATX,96,2
Asus PRIME B650M-A AX6 II,AM5,Micro ATX,192,4
ASRock X570 Creator,AM4,ATX,128,4
Intel DH55HC,LGA1156,ATX,16,4
Asus M4A87TD/USB3,AM3,ATX,16,4
Asus Crosshair IV Formula,AM3,ATX,16,4
Zotac NF610I-K-E,LGA775,Mini ITX,4,2
ASRock P45X3 Deluxe,LGA775,ATX,16,4
Asus P8P67,LGA1155,ATX,32,4
Asus P8H67-I DELUXE (REV 3.0),LGA1155,Mini ITX,16,2
ASRock Z68 Extreme4 Gen3,LGA1155,ATX,32,4
Asus P5G41T-M LX PLUS,LGA775,Micro ATX,8,2
ASRock X79 Extreme3,LGA2011,ATX,32,4
ASRock X79 Extreme6,LGA2011,ATX,64,8
ASRock Fatal1ty X79 Professional,LGA2011,ATX,32,4
MSI Z77A-GD65,LGA1155,ATX,32,4
ASRock B75M-ITX,LGA1155,Mini ITX,16,2
Asus P8B75-M LE,LGA1155,Micro ATX,16,2
MSI B75A-G43,LGA1155,ATX,32,4
MSI H61M-E33/W8,LGA1155,Micro ATX,16,2
Asus Sabertooth 990FX/GEN3 R2.0,AM3+,ATX,32,4
Gigabyte G1.SNIPER 5,LGA1150,EATX,32,4
Asus Z87-C,LGA1150,ATX,32,4
Intel DZ87KLT75K,LGA1150,ATX,32,4
Asus Maximus VI Extreme,LGA1150,ATX,32,4
Gigabyte GA-Z87X-D3H,LGA1150,ATX,32,4
Asus H87I-PLUS,LGA1150,Mini ITX,16,2
ASRock H81M-DGS R2.0,LGA1150,Micro ATX,16,2
Gigabyte GA-H81N,LGA1150,Mini ITX,16,2
Asus VANGUARD B85,LGA1150,Micro ATX,32,4
Gigabyte GA-Z97M-D3H,LGA1150,Micro ATX,32,4
Gigabyte GA-H97M-HD3,LGA1150,Micro ATX,16,2
ASRock Z97M-ITX/AC,LGA1150,Mini ITX,16,2
EVGA Micro,LGA2011-3,Micro ATX,64,4
Asus X99-PRO,LGA2011-3,ATX,64,8
Asus A68HM-E,FM2+,Micro ATX,32,2
Gigabyte GA-F2A68HM-DS2H,FM2+,Micro ATX,64,2
Biostar Hi-Fi A70U3P,FM2+,Micro ATX,32,2
MSI G41M4-F,LGA775,Micro ATX,8,2
MSI A68HM-GRENADE,FM2+,Micro ATX,32,2
MSI A68HI AC,FM2+,Mini ITX,32,2
ASRock Z170 Pro4,LGA1151,ATX,64,4
Gigabyte GA-B150M-HD3 DDR3,LGA1151,Micro ATX,16,2
Gigabyte GA-970-Gaming,AM3+,ATX,32,4
MSI 970A-G43 Plus,AM3+/AM3,ATX,32,4
ASRock E3C236D2I,LGA1151,Mini ITX,32,2
Asus H110M-E,LGA1151,Micro ATX,32,2
MSI B150M MORTAR ARCTIC,LGA1151,Micro ATX,64,4
Gigabyte GA-Gaming B8,LGA1151,ATX,64,4
Gigabyte GA-Z270X-Gaming K7,LGA1151,ATX,64,4
Gigabyte GA-B250M-Gaming 3,LGA1151,Micro ATX,64,4
Gigabyte X299 AORUS Gaming 7,LGA2066,ATX,128,8
Biostar A320MH PRO,AM4,Micro ATX,32,2
Asus ROG STRIX B250G GAMING,LGA1151,Micro ATX,64,4
ASRock N68-GS4 FX R2.0,AM3+,Micro ATX,16,2
MSI H370 GAMING PLUS,LGA1151,ATX,64,4
Biostar X470GT8,AM4,ATX,64,4
Gigabyte Z490 UD AC,LGA1200,ATX,128,4
ASRock Z490 PG Velocita,LGA1200,ATX,128,4
Biostar B550GTA,AM4,ATX,128,4
Asus PRIME H470-PLUS,LGA1200,ATX,128,4
EVGA Z590 FTW WIFI,LGA1200,ATX,128,4
Gigabyte B660M AORUS Pro AX,LGA1700,Micro ATX,192,4
MSI B560M PRO-VDH WIFI (CEC),LGA1200,Micro ATX,128,4
ASRock A620M-C,AM5,Micro ATX,192,4
ASRock B660M-HDVP/D5 R2.0,LGA1700,Micro ATX,96,2
Gigabyte Z790 EAGLE,LGA1700,ATX,192,4
Biostar B760MX2-E PRO D4,LGA1700,Micro ATX,128,4
Supermicro MBD-X9SCM-F-O,LGA1155,Micro ATX,32,4
Asus P7P55 LX,LGA1156,ATX,16,4
Gigabyte GA-P55M-UD2,LGA1156,Micro ATX,16,4
Asus P5QPL-AM,LGA775,Micro ATX,8,2
Asus M5A78L-M LX,AM3+,Micro ATX,8,2
Asus M5A97,AM3+,ATX,32,4
Gigabyte GA-Z68P-DS3,LGA1155,ATX,32,4
ASRock 970 Extreme3,AM3+,ATX,32,4
MSI X79A-GD45 (8D),LGA2011,ATX,128,8
Gigabyte GA-H77-DS3H,LGA1155,ATX,32,4
MSI FM2-A55M-E33,FM2,Micro ATX,16,2
ASRock B75M R2.0,LGA1155,Micro ATX,16,2
MSI Z77A-G45 Gaming,LGA1155,ATX,32,4
Asus H87-PLUS,LGA1150,ATX,32,4
MSI Z87 MPOWER,LGA1150,ATX,32,4
Intel DB85FL,LGA1150,Micro ATX,32,4
Biostar H61MGV3,LGA1155,Micro ATX,16,2
ASRock E3C226D2I,LGA1150,Mini ITX,16,2
MSI H81M-E35,LGA1150,Micro ATX,16,2
Asus Z97-C,LGA1150,ATX,32,4
ASRock H97M Anniversary,LGA1150,Micro ATX,32,4
Gigabyte GA-B85M-GAMING 3,LGA1150,Micro ATX,16,2
Asus Z97-DELUXE/USB 3.1,LGA1150,ATX,32,4
Asus Z97-E/USB3.1,LGA1150,ATX,32,4
MSI X99A GODLIKE GAMING,LGA2011-3,EATX,128,8
ASRock Z170 Extreme7+,LGA1151,ATX,64,4
MSI Z170A-G45 GAMING,LGA1151,ATX,64,4
Asus H170-PLUS D3,LGA1151,ATX,64,4
ASRock Fatal1ty Z170 Gaming-ITX/ac,LGA1151,Mini ITX,32,2
Asus B150M-K,LGA1151,Micro ATX,32,2
Asus H110I-PLUS D3/CSM,LGA1151,Mini ITX,32,2
ASRock Fatal1ty Z170 Professional Gaming i7,LGA1151,ATX,64,4
Gigabyte GA-H110N,LGA1151,Mini ITX,32,2
Gigabyte GA-H110M-H DDR3,LGA1151,Micro ATX,32,2
MSI B150M Night Elf,LGA1151,Micro ATX,64,4
MSI H170M PRO-VDH,LGA1151,Micro ATX,64,4
Asus PRIME B250-PRO,LGA1151,ATX,64,4
MSI H270M MORTAR ARCTIC,LGA1151,Micro ATX,64,4
MSI H270M BAZOOKA,LGA1151,Micro ATX,64,4
Gigabyte GA-H270M-D3H,LGA1151,Micro ATX,64,4
ASRock H270M Pro4,LGA1151,Micro ATX,64,4
EVGA Z270 Stinger,LGA1151,Mini ITX,32,2
Biostar B350GT5,AM4,ATX,64,4
MSI X299 GAMING PRO CARBON AC,LGA2066,ATX,128,8
Gigabyte Z370 AORUS Gaming K3 (rev. 1.0),LGA1151,ATX,64,4
MSI A320M PRO-VHL,AM4,Micro ATX,32,2
Gigabyte GA-H110M-S2PH,LGA1151,Micro ATX,32,2
Gigabyte H370M DS3H,LGA1151,Micro ATX,64,4
MSI H310I PRO,LGA1151,Mini ITX,32,2
EVGA Z370 Micro ATX,LGA1151,Micro ATX,32,2
Asus ROG RAMPAGE VI EXTREME OMEGA,LGA2066,EATX,128,8
Gigabyte H370M D3H GSM,LGA1151,Micro ATX,64,4
ASRock Z390 PHANTOM GAMING 7,LGA1151,ATX,128,4
ASRock X570 Extreme4 WiFi ax,AM4,ATX,128,4
Biostar B450GT3,AM4,Micro ATX,64,4
Gigabyte H410M DS2V,LGA1200,Micro ATX,64,2
ASRock Z490 Phantom Gaming 4/ac,LGA1200,ATX,128,4
ASRock H470M-ITX/ac,LGA1200,Mini ITX,64,2
EVGA Z490 FTW WIFI,LGA1200,ATX,128,4
ASRock Z590 PG Velocita,LGA1200,ATX,128,4
ASRock Z590 Phantom Gaming 4/ac,LGA1200,ATX,128,4
Gigabyte Z490 UD AC-Y1,LGA1200,ATX,128,4
MSI PRO H610M-C EX,LGA1700,Micro ATX,96,2
Biostar B760MX-E D4,LGA1700,Micro ATX,64,2
Biostar B760MX2-E,LGA1700,Micro ATX,96,2
Asus PRIME B760-PLUS-CSM,LGA1700,ATX,192,4
Asus PRIME H610M-R D4-CSM,LGA1700,Micro ATX,64,2
Asus PRIME H610M-E,LGA1700,Micro ATX,96,2
Gigabyte B760M AORUS ELITE AX (rev. 1.2),LGA1700,Micro ATX,192,1
Asus PRIME A520M-R-CSM,AM4,Micro ATX,64,2
Biostar B760M-SILVER,LGA1700,Micro ATX,192,4
ASRock C2750D4I,Integrated Atom C2750,Mini ITX,64,4
Asus Pro B760M-C-CSM,LGA1700,Micro ATX,128,4
MSI B360 GAMING PRO CARBON,LGA1151,ATX,64,4
Foxconn M61PMV,AM2+/AM2,Micro ATX,4,2
Intel DP55KG,LGA1156,ATX,16,4
Gigabyte GA-P55A-UD4P,LGA1156,ATX,16,4
Asus P5N-D,LGA775,ATX,8,4
Gigabyte GA-MA78LM-S2H,AM3/AM2+/AM2,Micro ATX,8,2
Intel DG43RK,LGA775,Micro ATX,8,4
Gigabyte GA-EP45T-UD3LR,LGA775,ATX,16,4
Zotac GF8200-C-E,AM2+/AM2,Mini ITX,8,2
ASRock P43DE3,LGA775,ATX,16,4
Zotac NF610I-L-E,LGA775,Micro ATX,4,2
ASRock H55M-LE,LGA1156,Micro ATX,8,2
Gigabyte GA-X58-USB3,LGA1366,ATX,24,6
Foxconn H55MXV,LGA1156,Micro ATX,8,2
ASRock P67 Extreme4,LGA1155,ATX,32,4
Intel DH61DLB3,LGA1155,Mini ITX,8,2
Foxconn H61MX,LGA1155,Micro ATX,8,2
Gigabyte GA-Z68MA-D2H-B3,LGA1155,Micro ATX,32,4
Gigabyte GA-Z68X-UD4-B3,LGA1155,ATX,32,4
Gigabyte GA-78LMT-S2P,AM3+,Micro ATX,8,2
Gigabyte GA-990FXA-UD5,AM3+,ATX,32,4
Asus P8P67 PRO (REV 3.1),LGA1155,ATX,32,4
Asus P8H61-M LX (REV 3.0),LGA1155,Micro ATX,16,2
Biostar H61MHB,LGA1155,Micro ATX,16,2
MSI X79A-GD45,LGA2011,ATX,64,4
Asus Rampage IV Extreme/BF3,LGA2011,EATX,64,8
Intel DP45SG,LGA775,ATX,8,4
ASRock Z77 Extreme6,LGA1155,ATX,32,4
ASRock Z77 Extreme4-M,LGA1155,Micro ATX,32,4
ASRock B75 Pro3,LGA1155,ATX,32,4
ASRock H77 Pro4/MVP,LGA1155,ATX,32,4
ASRock Z77E-ITX,LGA1155,Mini ITX,16,2
Asus P8Z77-V PRO/THUNDERBOLT,LGA1155,ATX,32,4
MSI ZH77A-G43,LGA1155,ATX,32,4
Asus P8H77-M LE,LGA1155,Micro ATX,16,2
ASRock 970 Pro3 R2.0,AM3+,ATX,64,4
MSI Z77A-GD65 Gaming,LGA1155,ATX,32,4
Gigabyte GA-H61M-USB3H,LGA1155,Micro ATX,16,2
Asus Z87M-Plus,LGA1150,Micro ATX,32,4
ASRock H87 Pro4,LGA1150,ATX,32,4
ASRock H87M Pro4,LGA1150,Micro ATX,32,4
MSI Z87M-G43,LGA1150,Micro ATX,32,4
Gigabyte GA-H87N-WIFI,LGA1150,Mini ITX,16,2
Gigabyte GA-78LMT-S2P(REV5.0),AM3+,Micro ATX,16,2
MSI A78M-E35,FM2+,Micro ATX,32,2
Gigabyte GA-G1.SNIPER Z97,LGA1150,ATX,32,4
Gigabyte GA-B85N PHOENIX-WIFI,LGA1150,Mini ITX,16,2
Gigabyte GA-F2A58M-HD2,FM2+,Micro ATX,64,2
Asus A88XM-E,FM2+,Micro ATX,32,2
EVGA Z97 Classified,LGA1150,EATX,32,4
ASRock Z97M Pro4,LGA1150,Micro ATX,32,4
Gigabyte GA-X99-UD5 WIFI,LGA2011-3,EATX,64,8
Gigabyte GA-F2A68HM-HD2,FM2+,Micro ATX,32,2
Asus SABERTOOTH Z97 MARK 1/USB 3.1,LGA1150,ATX,32,4
Gigabyte GA-X99-UD4P,LGA2011-3,EATX,64,8
ASRock EP2C612D16SM-2T,2 x LGA2011-3 Narrow,SSI EEB,1024,16
MSI A78M-E35 V2,FM2+,Micro ATX,32,2
MSI X99A GAMING 9 ACK,LGA2011-3,EATX,128,8
MSI Z97A GAMING 7,LGA1150,ATX,32,4
Gigabyte GA-P85-D3T,LGA1150,ATX,16,2
Asus SABERTOOTH Z97 MARK 2/USB 3.1,LGA1150,ATX,32,4
ASRock Z170 OC Formula,LGA1151,ATX,64,4
MSI H170A Gaming Pro,LGA1151,ATX,64,4
Asus H110M-A D3,LGA1151,Micro ATX,32,2
ASRock Z170A-X1/3.1,LGA1151,ATX,64,4
Gigabyte GA-X150-PLUS WS,LGA1151,ATX,64,4
ASRock FM2A58M-HD+ R2.0,FM2+,Micro ATX,32,2
Asus B150-PLUS,LGA1151,ATX,64,4
Gigabyte GA-B250M-D3V,LGA1151,ATX,32,2
Gigabyte GA-Z270N-WIFI,LGA1151,Mini ITX,32,2
ASRock Fatal1ty B250M Performance,LGA1151,Micro ATX,64,4
MSI A320M BAZOOKA,AM4,Micro ATX,64,4
Asus ROG STRIX H270I GAMING,LGA1151,Mini ITX,32,2
Gigabyte X299 AORUS Gaming 9,LGA2066,ATX,128,8
EVGA Z370 Classified K,LGA1151,ATX,64,4
EVGA X299 DARK,LGA2066,EATX,64,4
